judge,avg_d2v_vec1,avg_d2v_vec2,avg_d2v_vec3,avg_d2v_vec4,avg_d2v_vec5,avg_d2v_vec6,avg_d2v_vec7,avg_d2v_vec8,avg_d2v_vec9,avg_d2v_vec10,avg_d2v_vec11,avg_d2v_vec12,avg_d2v_vec13,avg_d2v_vec14,avg_d2v_vec15,avg_d2v_vec16,avg_d2v_vec17,avg_d2v_vec18,avg_d2v_vec19,avg_d2v_vec20,avg_d2v_vec21,avg_d2v_vec22,avg_d2v_vec23,avg_d2v_vec24,avg_d2v_vec25,non_air_pollution_single_judge_cases
N.P. Singh,0.8395330733333334,-1.27525185,-1.5112518133333335,2.226118938333333,0.10205266600000003,-0.7456470433333333,-2.219641026,-0.4833169333333333,-0.20985591000000003,-0.1939141716666666,-0.6117761366666666,0.17594918166666676,1.687082655,2.4727689666666666,-0.6592047983333335,-2.724159253333333,-0.06233998333333333,0.31386750499999994,-0.31647077,-1.5993547399999999,0.763285375,-1.1279105666666667,-1.6867915150000001,-0.04192340566666678,1.1541979588333333,6
B. R. Arora,-0.10856204666666668,0.13663494666666667,0.15202348216666667,0.4321543371,0.2267269043333333,-1.6919784666666668,0.056801983499999986,-0.8842305850000001,-1.0138159433333334,0.24145098266666667,-0.8912410249999999,-0.06171698049999999,-0.3239842783333333,0.649021555,-0.29182281000000004,-0.7903664583333333,-0.8722565066666667,1.6306705833333333,-0.2509899666666667,0.13105130916666666,1.0569134383333332,-0.4738394476666667,-0.6061409333333333,-0.44345232166666665,-0.2512020283333333,6
J. Chelameswar,0.75161084,-1.2251284566666667,-1.6624800133333333,1.3879437333333333,1.8266778783333333,-2.0772795433333333,0.17159799200000006,-1.2873305566666666,-1.760067463333333,0.12794597000000005,-0.15393178333333343,-0.5681400283333334,1.0690707599,1.34839604,-1.7892847083333334,-0.64451135,-1.28278095,0.868193965,-0.6198693016666666,-3.0884469461666666,-0.9140181266666666,-0.2113760016666667,-2.5810873383333335,-0.5835819433333334,0.3941382125,6
Govind Mathur,0.40807949,-1.123982966,0.026776643,0.644799054,0.15465112119999996,-1.705207548,0.246832982,-1.214454208,-0.548128048,0.49439819400000007,-0.31174096399999995,-1.482089154,-0.394834634,0.6739909104,-0.556128074,-0.9926481739999999,-1.3636318848,-0.014006245200000045,0.3385487908,1.2154048107999997,-0.14775285,-1.379988102,-0.8998008179999999,-1.459633722,-0.8334280319999999,5
Ajay Gupta,-0.394537576,-0.40842186399999997,-0.7015440479999999,-1.4245981799999998,0.08352768799999996,-0.7198189819999999,0.5582327048,1.06569116,-1.4031425739999999,1.601581892,-0.25664305,0.06396836939999999,0.18432541200000002,-0.9930634279999999,-1.0135509548,-0.75080836,-0.31488106499999996,1.1853116,-1.105255856,0.63749376,0.58226313,0.54929491168,-0.172696938,-1.261472388,-0.8198843201999999,5
A.M. Ahmadi,1.330993084,-1.601055394,-2.723812636,1.352604562,0.30514720199999995,-2.38268389,-3.1414851599999998,-0.611261482,0.20683588400000005,-1.43512612034,-0.301588142,-3.64466514,5.662606500000001,4.66115486,-1.7552965399999998,-1.9965621800000002,-1.591524732,2.4544964400000002,-0.10588056800000008,-4.18329844,-1.45101613,-1.1884843100000002,-2.43891412,-1.8262983680000002,2.843277482,5
M B Shah,0.8067769080000001,-1.91082632,-0.38116156599999995,2.3770840239999997,0.77050687,1.649508552,0.11998536199999998,-2.46958113,-0.21504062739999993,0.7492288,-2.68617464,0.207155052,0.38079305999999996,2.49570792,-0.273723708,-1.07120093,-2.1762377600000002,2.5368903400000002,0.47683987000000005,-0.43287654,0.3180192140000001,-3.0359952999999997,-2.5574610939999998,-0.047944079999999986,1.0194840859999998,5
K. G. Balakrishnan,-0.1112838159999999,0.012609722600000017,-1.088843574,4.10620528,1.6356610599999999,-4.805559488,-1.91125012,-3.7283324440000003,-0.533752372,-1.7925241800000002,0.22384049999999997,-1.407101292,2.295358534,0.793531004,-1.2317362060000001,-2.08583231,-2.19187242,0.47831303399999997,-0.58742086,-3.18465328,-1.8348780999999998,-1.02078889,-2.56410080636,0.9089492799999999,0.83662126,5
B. Sudershan Reddy,-0.1760228639999999,-0.592890944,-0.693768664,2.0822180599999998,1.204384626,-1.5362124659999998,0.8760016389999998,-1.9654072600000003,-1.0554157800000001,-0.4729096320000001,-1.10521186,-0.35255111999999994,0.86444036,0.5161884435999999,-1.2523015963400002,-2.428819608,-2.62155896,2.41130952,-0.4136492520000001,-0.664509759236,-0.05861706400000002,-1.33657214,-3.033620956,-1.4796583760000002,0.9181982059999999,5
R.M. Sahai,-2.3746607400000004,0.92909139,-1.5829572720000002,0.7099781420000001,1.6561806700000001,-5.6628110199999995,-1.56327579,-3.26495846,1.038404246,-2.0749061,-2.79890188,-1.69083536,0.611921932,2.60351452,0.002153089400000016,-2.21279912,-1.88337682,0.6654419039999999,-0.9396075348,-1.103986386,-1.289344068,-0.93837967,-1.8557992900000002,1.67346589,-0.06140294800000001,5
